Row_ID,Order_ID,Order_Date,Ship Date,Ship Mode,Customer ID,Customer Name,Profit,Discount,City,State,Postal Code,Region,Product_ID,Category,Sub_Category,Product Name,Sales,Quantity
60,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,3.3,0,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation8gb Micro Traveldrive Usb 2.0Flash Drive,30,2
61,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,16.362,0.2,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4
62,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,0.84,0,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1
63,CA-2016-135545,11/24/16,11/30/16,Standard Class,KM-16720,Kunst Miller,6.1512,0,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
64,CA-2016-135545,11/24/16,11/30/16,Standard Class,KM-16720,Kunst Miller,9.3612,0.2,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6
65,CA-2016-135545,11/24/16,11/30/16,Standard Class,KM-16720,Kunst Miller,68.9631,0,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3
66,CA-2016-135545,11/24/16,11/30/16,Standard Class,KM-16720,Kunst Miller,22.3328,0,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4
67,US-2016-164175,4/30/16,05-05-2016,Standard Class,PS-18970,Paul Stevenson,-15.2225,0.3,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
68,CA-2015-106376,12-05-2015,12-10-2015,Standard Class,BS-11590,Brendan Sweed,111.3024,0.2,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8
69,CA-2015-106376,12-05-2015,12-10-2015,Standard Class,BS-11590,Brendan Sweed,62.988,0.2,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4
70,CA-2017-119823,06-04-2017,06-06-2017,First Class,KD-16270,Karen Daniels,35.6636,0,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
71,CA-2017-106075,9/18/17,9/23/17,Standard Class,HM-14980,Henry MacAllister,1.731,0.2,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
72,CA-2018-114440,9/14/18,9/17/18,Second Class,TB-21520,Tracy Blumstein,8.763,0,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3
73,US-2016-134026,4/26/16,05-02-2016,Standard Class,JE-15745,Joel Eaton,-114.3912,0.2,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8
74,US-2016-134026,4/26/16,05-02-2016,Standard Class,JE-15745,Joel Eaton,1.213,0.2,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2
75,US-2016-134026,4/26/16,05-02-2016,Standard Class,JE-15745,Joel Eaton,-18.196,0.2,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1
76,US-2018-118038,12-09-2018,12-11-2018,First Class,KB-16600,Ken Brennan,-1.9344,0.8,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3
77,US-2018-118038,12-09-2018,12-11-2018,First Class,KB-16600,Ken Brennan,-5.8248,0.6,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3
78,US-2018-118038,12-09-2018,12-11-2018,First Class,KB-16600,Ken Brennan,2.724,0.2,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
79,US-2015-147606,11/26/15,12-01-2015,Second Class,JE-15745,Joel Eaton,-14.475,0.6,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5
80,CA-2017-127208,06-12-2017,6/15/17,First Class,SC-20770,Stewart Carmichael,56.2032,0,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
81,CA-2017-127208,06-12-2017,6/15/17,First Class,SC-20770,Stewart Carmichael,8.0352,0,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3
82,CA-2015-139451,10-12-2015,10/16/15,Standard Class,DN-13690,Duane Noonan,4.172,0,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5
83,CA-2015-139451,10-12-2015,10/16/15,Standard Class,DN-13690,Duane Noonan,6.2031,0,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1
84,CA-2016-149734,09-03-2016,09-08-2016,Standard Class,JC-16105,Julie Creighton,62.8075,0.2,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7
85,US-2018-119662,11/13/18,11/16/18,First Class,CS-12400,Christopher Schild,-48.9549,0.2,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3
86,CA-2018-140088,5/28/18,5/30/18,Second Class,PO-18865,Patrick O'Donnell,33.2156,0,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2
87,CA-2018-155558,10/26/18,11-02-2018,Standard Class,PG-18895,Paul Gonzalez,6.7966,0,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,LogitechLS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1
88,CA-2018-155558,10/26/18,11-02-2018,Standard Class,PG-18895,Paul Gonzalez,2.9568,0,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2
89,CA-2017-159695,04-05-2017,04-10-2017,Second Class,GM-14455,Gary Mitchum,13.8572,0.2,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7
90,CA-2017-109806,9/17/17,9/22/17,Standard Class,JS-15685,Jim Sink,6.633,0,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3
91,CA-2017-109806,9/17/17,9/22/17,Standard Class,JS-15685,Jim Sink,8.2782,0.2,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2
92,CA-2017-109806,9/17/17,9/22/17,Standard Class,JS-15685,Jim Sink,3.1104,0,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1
93,CA-2016-149587,1/31/16,02-05-2016,Second Class,KB-16315,Karl Braun,6.2208,0,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2
94,CA-2016-149587,1/31/16,02-05-2016,Second Class,KB-16315,Karl Braun,16.5354,0,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3
95,CA-2016-149587,1/31/16,02-05-2016,Second Class,KB-16315,Karl Braun,16.1504,0,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2
96,US-2018-109484,11-06-2018,11-12-2018,Standard Class,RB-19705,Roger Barcio,-3.788,0.7,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1
97,CA-2018-161018,11-09-2018,11-11-2018,Second Class,PN-18775,Parhena Norris,40.5426,0,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7
98,CA-2018-157833,6/17/18,6/20/18,First Class,KD-16345,Katherine Ducich,17.9592,0.2,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3
99,CA-2017-149223,09-06-2017,09-11-2017,Standard Class,ER-13855,Elpida Rittenbach,22.5852,0,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6
100,CA-2017-158568,8/29/17,09-02-2017,Standard Class,RB-19465,Rick Bensley,22.6184,0.2,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7
101,CA-2017-158568,8/29/17,09-02-2017,Standard Class,RB-19465,Rick Bensley,-10.7973,0.2,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3
102,CA-2017-158568,8/29/17,09-02-2017,Standard Class,RB-19465,Rick Bensley,-3.0396,0.8,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3
103,CA-2017-129903,12-01-2017,12-04-2017,Second Class,GZ-14470,Gary Zandusky,11.7208,0,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4
104,US-2016-156867,11/13/16,11/17/16,Standard Class,LC-16870,Lena Cacioppo,-26.8758,0.2,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6
105,US-2016-156867,11/13/16,11/17/16,Standard Class,LC-16870,Lena Cacioppo,-3.8385,0.2,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3
106,US-2016-156867,11/13/16,11/17/16,Standard Class,LC-16870,Lena Cacioppo,-25.8174,0.7,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3
107,CA-2018-119004,11/23/18,11/28/18,Standard Class,JM-15250,Janet Martin,17.6016,0.2,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8
108,CA-2018-119004,11/23/18,11/28/18,Standard Class,JM-15250,Janet Martin,2.0994,0.2,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1
109,CA-2018-119004,11/23/18,11/28/18,Standard Class,JM-15250,Janet Martin,1.0738,0.2,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1
110,CA-2016-129476,10/15/16,10/20/16,Standard Class,PA-19060,Pete Armstrong,67.992,0.2,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,LogitechGaming G510s - Keyboard,339.96,5
111,CA-2018-146780,12/25/18,12/30/18,Standard Class,CV-12805,Cynthia Voltz,10.9096,0,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2
112,CA-2017-128867,11-03-2017,11-10-2017,Standard Class,CL-12565,Clay Ludtke,22.788,0,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2
113,CA-2017-128867,11-03-2017,11-10-2017,Standard Class,CL-12565,Clay Ludtke,13.3476,0,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6
114,CA-2015-115259,8/25/15,8/27/15,Second Class,RC-19960,Ryan Crowe,14.5348,0.2,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14
115,CA-2015-115259,8/25/15,8/27/15,Second Class,RC-19960,Ryan Crowe,1.652,0.2,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2
116,CA-2015-115259,8/25/15,8/27/15,Second Class,RC-19960,Ryan Crowe,7.4925,0.2,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3
117,CA-2015-115259,8/25/15,8/27/15,Second Class,RC-19960,Ryan Crowe,44.0316,0.2,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6
